Jar,Species,Treatment,Day,Replicate,Sample.Day,Community,Species.Richness,Abundance
56,Blepharisma,U1.5,4,2,1,P.caudatum+Blepharisma,2,200
56,P.caudatum,U1.5,4,2,1,P.caudatum+Blepharisma,2,3600
57,Blepharisma,U1.5,4,3,1,P.caudatum+Blepharisma,2,300
57,P.caudatum,U1.5,4,3,1,P.caudatum+Blepharisma,2,2800
58,Blepharisma,U1.5,4,1,1,Blepharisma+Loxocephallus,2,1300
58,Loxocephallus,U1.5,4,1,1,Blepharisma+Loxocephallus,2,25
59,Blepharisma,U1.5,4,2,1,Blepharisma+Loxocephallus,2,1500
59,Loxocephallus,U1.5,4,2,1,Blepharisma+Loxocephallus,2,100
60,Blepharisma,U1.5,4,3,1,Blepharisma+Loxocephallus,2,NA
60,Loxocephallus,U1.5,4,3,1,Blepharisma+Loxocephallus,2,NA
61,Blepharisma,U1.5,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,400
61,Loxocephallus,U1.5,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,66.66666667
61,P.caudatum,U1.5,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,3700
62,Blepharisma,U1.5,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,500
62,Loxocephallus,U1.5,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,0
62,P.caudatum,U1.5,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,2300
63,Blepharisma,U1.5,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
63,Loxocephallus,U1.5,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
63,P.caudatum,U1.5,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
64,P.caudatum,U0.75,4,1,1,P.caudatum,1,2600
65,P.caudatum,U0.75,4,2,1,P.caudatum,1,2600
66,P.caudatum,U0.75,4,3,1,P.caudatum,1,2600
67,Loxocephallus,U0.75,4,1,1,Loxocephallus,1,100
68,Loxocephallus,U0.75,4,2,1,Loxocephallus,1,NA
69,Loxocephallus,U0.75,4,3,1,Loxocephallus,1,400
70,Blepharisma,U0.75,4,1,1,Blepharisma,1,1300
71,Blepharisma,U0.75,4,2,1,Blepharisma,1,1100
72,Blepharisma,U0.75,4,3,1,Blepharisma,1,1200
73,Loxocephallus,U0.75,4,1,1,P.caudatum+Loxocephallus,2,0
73,P.caudatum,U0.75,4,1,1,P.caudatum+Loxocephallus,2,3600
74,Loxocephallus,U0.75,4,2,1,P.caudatum+Loxocephallus,2,0
74,P.caudatum,U0.75,4,2,1,P.caudatum+Loxocephallus,2,4100
75,Loxocephallus,U0.75,4,3,1,P.caudatum+Loxocephallus,2,0
75,P.caudatum,U0.75,4,3,1,P.caudatum+Loxocephallus,2,4000
76,Blepharisma,U0.75,4,1,1,P.caudatum+Blepharisma,2,400
76,P.caudatum,U0.75,4,1,1,P.caudatum+Blepharisma,2,3900
77,Blepharisma,U0.75,4,2,1,P.caudatum+Blepharisma,2,200
77,P.caudatum,U0.75,4,2,1,P.caudatum+Blepharisma,2,2700
78,Blepharisma,U0.75,4,3,1,P.caudatum+Blepharisma,2,500
78,P.caudatum,U0.75,4,3,1,P.caudatum+Blepharisma,2,3500
79,Blepharisma,U0.75,4,1,1,Blepharisma+Loxocephallus,2,1600
79,Loxocephallus,U0.75,4,1,1,Blepharisma+Loxocephallus,2,100
80,Blepharisma,U0.75,4,2,1,Blepharisma+Loxocephallus,2,1100
80,Loxocephallus,U0.75,4,2,1,Blepharisma+Loxocephallus,2,100
81,Blepharisma,U0.75,4,3,1,Blepharisma+Loxocephallus,2,1500
81,Loxocephallus,U0.75,4,3,1,Blepharisma+Loxocephallus,2,33.33333333
82,Blepharisma,U0.75,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,200
82,Loxocephallus,U0.75,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,0
82,P.caudatum,U0.75,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,3500
83,Blepharisma,U0.75,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,400
83,Loxocephallus,U0.75,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,0
83,P.caudatum,U0.75,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,4000
84,Blepharisma,U0.75,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
84,Loxocephallus,U0.75,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
84,P.caudatum,U0.75,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
85,P.caudatum,U0.5,4,1,1,P.caudatum,1,2000
86,P.caudatum,U0.5,4,2,1,P.caudatum,1,3200
87,P.caudatum,U0.5,4,3,1,P.caudatum,1,3400
88,Loxocephallus,U0.5,4,1,1,Loxocephallus,1,200
89,Loxocephallus,U0.5,4,2,1,Loxocephallus,1,350
90,Loxocephallus,U0.5,4,3,1,Loxocephallus,1,100
91,Blepharisma,U0.5,4,1,1,Blepharisma,1,1400
92,Blepharisma,U0.5,4,2,1,Blepharisma,1,1600
93,Blepharisma,U0.5,4,3,1,Blepharisma,1,1200
94,Loxocephallus,U0.5,4,1,1,P.caudatum+Loxocephallus,2,0
