,Jar,Species,Day,Treatment,Replicate,Community,Community.Complexity,td
249,130,Colpidium,0,20,5,P.caudatum + Blepharisma + Colpidium,3,100
250,130,P.caudatum,0,20,5,P.caudatum + Blepharisma + Colpidium,3,100
251,131,Blepharisma,0,15,1,Loxocephalus + Blepharisma + Colpidium,3,100
252,131,Colpidium,0,15,1,Loxocephalus + Blepharisma + Colpidium,3,100
253,131,Loxocephallus,0,15,1,Loxocephalus + Blepharisma + Colpidium,3,100
254,132,Blepharisma,0,15,2,Loxocephalus + Blepharisma + Colpidium,3,100
255,132,Colpidium,0,15,2,Loxocephalus + Blepharisma + Colpidium,3,100
256,132,Loxocephallus,0,15,2,Loxocephalus + Blepharisma + Colpidium,3,100
257,133,Blepharisma,0,15,3,Loxocephalus + Blepharisma + Colpidium,3,100
258,133,Colpidium,0,15,3,Loxocephalus + Blepharisma + Colpidium,3,100
259,133,Loxocephallus,0,15,3,Loxocephalus + Blepharisma + Colpidium,3,100
260,134,Blepharisma,0,15,4,Loxocephalus + Blepharisma + Colpidium,3,100
261,134,Colpidium,0,15,4,Loxocephalus + Blepharisma + Colpidium,3,100
262,134,Loxocephallus,0,15,4,Loxocephalus + Blepharisma + Colpidium,3,100
263,135,Blepharisma,0,15,5,Loxocephalus + Blepharisma + Colpidium,3,100
264,135,Colpidium,0,15,5,Loxocephalus + Blepharisma + Colpidium,3,100
265,135,Loxocephallus,0,15,5,Loxocephalus + Blepharisma + Colpidium,3,100
266,136,Blepharisma,0,20,1,Loxocephalus + Blepharisma + Colpidium,3,100
267,136,Colpidium,0,20,1,Loxocephalus + Blepharisma + Colpidium,3,100
268,136,Loxocephallus,0,20,1,Loxocephalus + Blepharisma + Colpidium,3,100
269,137,Blepharisma,0,20,2,Loxocephalus + Blepharisma + Colpidium,3,100
270,137,Colpidium,0,20,2,Loxocephalus + Blepharisma + Colpidium,3,100
271,137,Loxocephallus,0,20,2,Loxocephalus + Blepharisma + Colpidium,3,100
272,138,Blepharisma,0,20,3,Loxocephalus + Blepharisma + Colpidium,3,100
